crashid,state,month,year,dayweek,time,crashtype,numberfatalities,businvolvement,heavyrigidtruckinvolvement,articulatedtruckinvolvement,speedlimit,nationalremotenessareas,sa4name2016,nationallganame2017,nationalroadtype,christmasperiod,easterperiod,dayofweek,timeofday
20205093,WA,10,2020,Friday,19.45,Single,1,No,No,No,110,,,,,No,No,Weekend,Night
20205008,WA,10,2020,Sunday,23.49,Single,1,No,No,No,110,,,,,No,No,Weekend,Night
20205050,WA,10,2020,Sunday,10.30,Single,1,No,No,No,100,,,,,No,No,Weekend,Day
20201127,NSW,10,2020,Saturday,17.30,Single,1,No,No,No,100,Major Cities of Australia,Sydney - Outer South West,Wollondilly,Access road,No,No,Weekend,Day
20202001,Vic,10,2020,Saturday,17.15,Single,1,-9,-9,-9,100,Inner Regional Australia,Melbourne - North East,Whittlesea (C),Arterial Road,No,No,Weekend,Day
20207010,NT,10,2020,Saturday,12.16,Multiple,2,No,No,No,80,Outer Regional Australia,Darwin,Litchfield (M),Arterial Road,No,No,Weekend,Day
20203107,Qld,10,2020,Saturday,15.00,Multiple,1,No,No,No,80,Major Cities of Australia,Brisbane - South,Brisbane (C),Sub-arterial Road,No,No,Weekend,Day
20206005,Tas,10,2020,Saturday,17.51,Multiple,1,No,No,No,100,Outer Regional Australia,Hobart,Sorell (M),National or State Highway,No,No,Weekend,Day
20205045,WA,10,2020,Thursday,12.56,Single,1,No,No,No,80,,,,,No,No,Weekday,Day
20205027,WA,10,2020,Wednesday,14.52,Single,1,No,No,No,110,,,,,No,No,Weekday,Day
20207008,NT,10,2020,Thursday,22.06,Multiple,1,No,No,No,60,Remote Australia,Northern Territory - Outback,Alice Springs (T),National or State Highway,No,No,Weekday,Night
20205082,WA,10,2020,Tuesday,16.07,Multiple,1,Yes,No,No,50,,,,,No,No,Weekday,Day
20203059,Qld,10,2020,Wednesday,10.00,Single,1,No,No,No,100,Inner Regional Australia,Wide Bay,Gympie (R),National or State Highway,No,No,Weekday,Day
20203132,Qld,10,2020,Friday,8.00,Single,1,No,No,No,100,Very Remote Australia,Queensland - Outback,Cook (S),Collector Road,No,No,Weekday,Day
20203060,Qld,10,2020,Wednesday,6.00,Multiple,1,No,No,No,80,Inner Regional Australia,Sunshine Coast,Sunshine Coast (R),Sub-arterial Road,No,No,Weekday,Day
20201075,NSW,10,2020,Wednesday,10.40,Single,1,No,No,No,80,Inner Regional Australia,Central Coast,Central Coast,Collector Road,No,No,Weekday,Day
20207004,NT,10,2020,Tuesday,6.55,Multiple,2,No,No,No,50,Outer Regional Australia,Darwin,Darwin (C),Collector Road,No,No,Weekday,Day
20202057,Vic,10,2020,Friday,15.30,Multiple,2,-9,-9,-9,100,Inner Regional Australia,Latrobe - Gippsland,South Gippsland (S),Access road,No,No,Weekday,Day
20203128,Qld,10,2020,Monday,15.00,Multiple,1,No,No,Yes,100,Outer Regional Australia,Queensland - Outback,Mareeba (S),Sub-arterial Road,No,No,Weekday,Day
20203157,Qld,10,2020,Thursday,8.00,Multiple,1,No,No,No,-9,Inner Regional Australia,Central Queensland,Livingstone (S),Sub-arterial Road,No,No,Weekday,Day
20201215,NSW,10,2020,Wednesday,17.22,Single,1,No,No,No,80,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie,Collector Road,No,No,Weekday,Day
20204025,SA,10,2020,Monday,12.45,Single,1,No,No,No,80,Major Cities of Australia,Adelaide - Central and Hills,Adelaide Hills (DC),Sub-arterial Road,No,No,Weekday,Day
20202160,Vic,10,2020,Monday,16.22,Multiple,1,-9,-9,-9,100,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges (S),Arterial Road,No,No,Weekday,Day
20202094,Vic,10,2020,Wednesday,17.22,Multiple,1,-9,-9,-9,-9,Major Cities of Australia,Geelong,Greater Geelong (C),Local Road,No,No,Weekday,Day
20203133,Qld,10,2020,Friday,11.00,Single,1,No,No,No,90,Inner Regional Australia,Logan - Beaudesert,Logan (C),Sub-arterial Road,No,No,Weekday,Day
20202135,Vic,10,2020,Friday,8.40,Single,1,-9,-9,-9,-9,Inner Regional Australia,Hume,Mitchell (S),National or State Highway,No,No,Weekday,Day
20203196,Qld,10,2020,Tuesday,17.00,Multiple,1,No,No,No,100,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay (R),Sub-arterial Road,No,No,Weekday,Day
20202076,Vic,10,2020,Monday,15.50,Multiple,2,-9,Yes,-9,70,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges (S),Arterial Road,No,No,Weekday,Day
20203088,Qld,10,2020,Thursday,11.00,Single,1,No,No,No,100,Very Remote Australia,Queensland - Outback,Cloncurry (S),National or State Highway,No,No,Weekday,Day
20203041,Qld,10,2020,Friday,16.00,Single,1,No,No,No,-9,Major Cities of Australia,Logan - Beaudesert,Logan (C),Sub-arterial Road,No,No,Weekday,Day
20201180,NSW,10,2020,Wednesday,10.00,Multiple,1,No,No,No,100,Inner Regional Australia,Richmond - Tweed,Kyogle,Arterial Road,No,No,Weekday,Day
20207002,NT,10,2020,Monday,8.10,Multiple,1,Yes,No,No,60,Outer Regional Australia,Darwin,Litchfield (M),Arterial Road,No,No,Weekday,Day
20206009,Tas,10,2020,Friday,12.50,Multiple,3,No,No,No,110,Outer Regional Australia,Launceston and North East,Northern Midlands (M),National or State Highway,No,No,Weekday,Day
20201071,NSW,10,2020,Tuesday,11.33,Multiple,1,No,No,No,50,Major Cities of Australia,Illawarra,Wollongong,Local Road,No,No,Weekday,Day
20204023,SA,10,2020,Tuesday,7.15,Single,1,No,No,No,110,Very Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway,No,No,Weekday,Day
20203017,Qld,10,2020,Monday,9.00,Single,1,No,No,No,60,Inner Regional Australia,Ipswich,Scenic Rim (R),Sub-arterial Road,No,No,Weekday,Day
20203022,Qld,10,2020,Wednesday,8.00,Multiple,1,No,No,No,100,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday (R),Sub-arterial Road,No,No,Weekday,Day
20202138,Vic,10,2020,Friday,15.00,Single,1,-9,-9,-9,-9,Inner Regional Australia,Hume,Wodonga (C),National or State Highway,No,No,Weekday,Day
20203007,Qld,10,2020,Monday,15.00,Multiple,1,No,Yes,No,80,Outer Regional Australia,Townsville,Townsville (C),National or State Highway,No,No,Weekday,Day
20202163,Vic,10,2020,Sunday,11.10,Single,1,-9,-9,-9,-9,Major Cities of Australia,Melbourne - North West,Hume (C),Collector Road,No,No,Weekend,Day
20203018,Qld,10,2020,Saturday,20.00,Single,1,No,No,No,110,Major Cities of Australia,Gold Coast,Gold Coast (C),National or State Highway,No,No,Weekend,Night
20203009,Qld,10,2020,Sunday,18.00,Single,1,No,No,Yes,110,Inner Regional Australia,Wide Bay,Gympie (R),,No,No,Weekend,Night
20204024,SA,10,2020,Saturday,15.25,Single,1,No,No,No,50,Major Cities of Australia,Adelaide - South,Onkaparinga (C),Local Road,No,No,Weekend,Day
20201090,NSW,10,2020,Tuesday,9.00,Single,1,No,No,No,50,Major Cities of Australia,Sydney - Inner South West,Bayside,Local Road,No,No,Weekday,Day
20202155,Vic,10,2020,Wednesday,7.04,Single,1,-9,-9,-9,-9,Inner Regional Australia,Ballarat,Pyrenees (S),National or State Highway,No,No,Weekday,Day
20205025,WA,10,2020,Saturday,19.00,Multiple,1,No,Yes,No,110,,,,,No,No,Weekend,Night
20207022,NT,10,2020,Friday,21.20,Single,1,No,No,No,70,Outer Regional Australia,Darwin,Darwin (C),Arterial Road,No,No,Weekend,Night
20203147,Qld,10,2020,Sunday,19.00,Multiple,1,No,No,No,80,Inner Regional Australia,Sunshine Coast,Noosa (S),Sub-arterial Road,No,No,Weekend,Night
20203163,Qld,10,2020,Sunday,20.00,Multiple,1,No,No,No,60,Remote Australia,Queensland - Outback,Mount Isa (C),Local Road,No,No,Weekend,Night
20202156,Vic,10,2020,Saturday,2.13,Single,1,-9,-9,-9,-9,Outer Regional Australia,North West,Swan Hill (RC),Local Road,No,No,Weekend,Night
20202063,Vic,10,2020,Saturday,17.19,Single,1,-9,-9,-9,100,Major Cities of Australia,Mornington Peninsula,Frankston (C),National or State Highway,No,No,Weekend,Day
20203057,Qld,10,2020,Sunday,18.00,Single,1,No,No,No,70,Major Cities of Australia,Brisbane - South,Brisbane (C),National or State Highway,No,No,Weekend,Night
20205090,WA,10,2020,Wednesday,13.17,Multiple,1,No,Yes,No,70,,,,,No,No,Weekday,Day
20203092,Qld,10,2020,Saturday,18.00,Multiple,1,No,No,No,60,Major Cities of Australia,Sunshine Coast,Sunshine Coast (R),Collector Road,No,No,Weekend,Night
20202090,Vic,10,2020,Saturday,18.59,Multiple,1,-9,-9,-9,-9,Major Cities of Australia,Melbourne - Inner,Melbourne (C),Arterial Road,No,No,Weekend,Night
20202013,Vic,10,2020,Saturday,15.05,Multiple,1,-9,-9,-9,-9,Inner Regional Australia,Ballarat,Moorabool (S),National or State Highway,No,No,Weekend,Day
20201052,NSW,10,2020,Saturday,14.50,Single,1,No,No,No,100,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Sub-arterial Road,No,No,Weekend,Day
20205066,WA,10,2020,Friday,5.30,Single,1,No,No,No,90,,,,,No,No,Weekday,Night
20204017,SA,10,2020,Saturday,10.37,Single,1,No,No,No,100,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills (DC),Arterial Road,No,No,Weekend,Day
20203027,Qld,10,2020,Saturday,18.00,Single,1,No,No,No,60,Major Cities of Australia,Sunshine Coast,Sunshine Coast (R),Collector Road,No,No,Weekend,Night
20205100,WA,10,2020,Sunday,14.40,Multiple,1,No,No,No,50,,,,,No,No,Weekend,Day
20202165,Vic,10,2020,Saturday,10.30,Single,1,-9,-9,-9,-9,Inner Regional Australia,Hume,Indigo (S),Access road,No,No,Weekend,Day
20208005,ACT,10,2020,Saturday,1.50,Single,1,No,No,No,-9,,,,,No,No,Weekend,Night
20201035,NSW,10,2020,Sunday,12.15,Multiple,1,No,No,No,60,Major Cities of Australia,Sydney - South West,Fairfield,Arterial Road,No,No,Weekend,Day
20201166,NSW,10,2020,Friday,20.10,Multiple,1,No,No,No,80,Major Cities of Australia,Central Coast,Central Coast,Local Road,No,No,Weekend,Night
20201170,NSW,10,2020,Saturday,12.35,Multiple,1,No,No,No,100,Outer Regional Australia,New England and North West,Narrabri,Arterial Road,No,No,Weekend,Day
20201173,NSW,10,2020,Saturday,2.33,Single,1,No,Yes,No,110,Outer Regional Australia,Riverina,Cootamundra-Gundagai,National or State Highway,No,No,Weekend,Night
20203093,Qld,10,2020,Sunday,18.00,Single,1,No,No,No,100,Inner Regional Australia,Wide Bay,Fraser Coast (R),Local Road,No,No,Weekend,Night
20205030,WA,10,2020,Sunday,1.17,Single,1,No,No,No,90,,,,,No,No,Weekend,Night
20201114,NSW,10,2020,Saturday,5.55,Multiple,1,No,No,No,100,Inner Regional Australia,Illawarra,Wollondilly,Arterial Road,No,No,Weekend,Night
20202162,Vic,10,2020,Sunday,20.19,Multiple,1,-9,-9,-9,-9,Inner Regional Australia,Ballarat,Golden Plains (S),Sub-arterial Road,No,No,Weekend,Night
20205089,WA,10,2020,Tuesday,18.30,Single,1,No,No,No,110,,,,,No,No,Weekday,Night
20203070,Qld,10,2020,Wednesday,5.00,Multiple,1,No,No,Yes,100,Remote Australia,Mackay - Isaac - Whitsunday,Isaac (R),Sub-arterial Road,No,No,Weekday,Night
20204045,SA,10,2020,Thursday,23.00,Single,1,No,Yes,No,100,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker (DC),Arterial Road,No,No,Weekday,Night
20201232,NSW,10,2020,Thursday,21.30,Single,1,No,No,No,100,Outer Regional Australia,Murray,Greater Hume,Sub-arterial Road,No,No,Weekday,Night
20206012,Tas,10,2020,Wednesday,20.30,Multiple,1,No,No,No,80,Inner Regional Australia,Hobart,Clarence (C),Sub-arterial Road,No,No,Weekday,Night
20201005,NSW,10,2020,Wednesday,3.30,Single,1,No,No,No,50,Major Cities of Australia,Sydney - Parramatta,Cumberland,Arterial Road,No,No,Weekday,Night
20204039,SA,10,2020,Thursday,2.00,Single,1,No,No,No,80,Major Cities of Australia,Adelaide - North,Playford (C),National or State Highway,No,No,Weekday,Night
20204032,SA,10,2020,Tuesday,23.45,Single,1,No,No,No,60,Major Cities of Australia,Adelaide - West,Charles Sturt (C),Sub-arterial Road,No,No,Weekday,Night
20201155,NSW,10,2020,Thursday,18.00,Single,1,No,No,No,110,Remote Australia,Murray,Hay,National or State Highway,No,No,Weekday,Night
20202014,Vic,10,2020,Thursday,22.49,Multiple,1,-9,-9,-9,-9,Major Cities of Australia,Melbourne - Inner,Port Phillip (C),Arterial Road,No,No,Weekday,Night
20202121,Vic,10,2020,Tuesday,22.50,Multiple,1,-9,-9,-9,-9,Inner Regional Australia,Shepparton,Greater Shepparton (C),Local Road,No,No,Weekday,Night
20203046,Qld,10,2020,Monday,22.00,Single,1,No,No,No,60,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba (R),Sub-arterial Road,No,No,Weekday,Night
20203001,Qld,10,2020,Thursday,22.00,Multiple,1,No,No,No,110,Inner Regional Australia,Wide Bay,Gympie (R),,No,No,Weekday,Night
20201169,NSW,10,2020,Thursday,5.44,Multiple,1,No,No,No,80,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Arterial Road,No,No,Weekday,Night
20203119,Qld,10,2020,Friday,1.00,Single,1,No,No,No,80,Outer Regional Australia,Cairns,Cairns (R),National or State Highway,No,No,Weekday,Night
20203006,Qld,10,2020,Thursday,21.00,Multiple,1,No,No,No,80,Major Cities of Australia,Logan - Beaudesert,Logan (C),Sub-arterial Road,No,No,Weekday,Night
20201183,NSW,10,2020,Tuesday,20.30,Single,1,No,No,No,40,Outer Regional Australia,Mid North Coast,Kempsey,Sub-arterial Road,No,No,Weekday,Night
20202097,Vic,10,2020,Wednesday,0.15,Single,1,-9,-9,-9,100,Inner Regional Australia,Latrobe - Gippsland,Bass Coast (S),Local Road,No,No,Weekday,Night
20201033,NSW,10,2020,Tuesday,5.05,Single,1,No,No,No,110,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie,National or State Highway,No,No,Weekday,Night
20201079,NSW,10,2020,Tuesday,1.20,Single,1,No,No,No,100,Inner Regional Australia,Richmond - Tweed,Byron,National or State Highway,No,No,Weekday,Night
20202105,Vic,10,2020,Monday,20.15,Single,1,-9,-9,-9,-9,Outer Regional Australia,North West,Mildura (RC),National or State Highway,No,No,Weekday,Night
20203025,Qld,10,2020,Thursday,23.00,Single,1,No,No,No,-9,Major Cities of Australia,Sunshine Coast,Sunshine Coast (R),Sub-arterial Road,No,No,Weekday,Night
20205054,WA,10,2020,Saturday,16.53,Single,1,No,No,No,50,,,,,No,No,Weekend,Day
20205009,WA,10,2020,Saturday,6.25,Single,2,No,No,No,110,,,,,No,No,Weekend,Day
20203089,Qld,10,2020,Sunday,15.00,Multiple,1,No,No,No,60,Major Cities of Australia,Logan - Beaudesert,Logan (C),Collector Road,No,No,Weekend,Day
20203153,Qld,10,2020,Saturday,7.00,Single,1,No,No,No,80,Outer Regional Australia,Cairns,Cairns (R),Sub-arterial Road,No,No,Weekend,Day
20205106,WA,10,2020,Wednesday,6.33,Single,1,No,No,No,110,,,,,No,No,Weekday,Day
20205058,WA,10,2020,Friday,14.54,Single,1,No,No,No,110,,,,,No,No,Weekday,Day
20201196,NSW,10,2020,Monday,13.00,Single,1,No,No,No,100,Outer Regional Australia,Mid North Coast,Nambucca Valley,Access road,No,No,Weekday,Day
20201067,NSW,10,2020,Thursday,13.00,Single,1,No,No,No,80,Inner Regional Australia,Capital Region,Hilltops,Local Road,No,No,Weekday,Day
20201085,NSW,10,2020,Friday,16.30,Multiple,1,No,Yes,No,100,Inner Regional Australia,Capital Region,Snowy Monaro Regional,National or State Highway,No,No,Weekday,Day
20206023,Tas,10,2020,Tuesday,16.47,Multiple,1,No,No,No,50,Inner Regional Australia,Hobart,Hobart (C),Arterial Road,No,No,Weekday,Day
20202131,Vic,10,2020,Wednesday,15.48,Multiple,1,-9,-9,-9,-9,Major Cities of Australia,Melbourne - Inner,Melbourne (C),Local Road,No,No,Weekday,Day
20204047,SA,10,2020,Monday,17.08,Single,1,No,No,No,100,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker (DC),Local Road,No,No,Weekday,Day
20203076,Qld,10,2020,Friday,10.00,Single,1,No,No,Yes,100,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay (R),Sub-arterial Road,No,No,Weekday,Day
20203062,Qld,9,2020,Saturday,11.00,Single,1,No,No,No,60,Inner Regional Australia,Wide Bay,South Burnett (R),National or State Highway,No,No,Weekend,Day
20203192,Qld,9,2020,Sunday,6.00,Multiple,1,No,No,Yes,100,Outer Regional Australia,Cairns,Cassowary Coast (R),Sub-arterial Road,No,No,Weekend,Day
20203146,Qld,9,2020,Sunday,0.00,Single,1,No,No,No,80,Outer Regional Australia,Cairns,Cairns (R),Sub-arterial Road,No,No,Weekend,Night
20203200,Qld,9,2020,Sunday,12.00,Multiple,3,No,No,No,80,Outer Regional Australia,Townsville,Burdekin (S),National or State Highway,No,No,Weekend,Day
20203160,Qld,9,2020,Sunday,9.00,Multiple,1,No,No,No,100,Outer Regional Australia,Townsville,Townsville (C),National or State Highway,No,No,Weekend,Day
20205020,WA,9,2020,Friday,11.24,Multiple,1,No,No,No,110,,,,,No,No,Weekday,Day
20203134,Qld,9,2020,Friday,9.00,Single,1,No,No,No,70,Outer Regional Australia,Queensland - Outback,Mareeba (S),Local Road,No,No,Weekday,Day
20203158,Qld,9,2020,Monday,15.00,Multiple,1,No,No,No,60,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs (R),National or State Highway,No,No,Weekday,Day
20202125,Vic,9,2020,Wednesday,6.49,Single,1,No,No,No,80,Major Cities of Australia,Melbourne - Outer East,Knox (C),Arterial Road,No,No,Weekday,Day
20204066,SA,9,2020,Wednesday,12.04,Single,1,No,No,No,80,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills (DC),Arterial Road,No,No,Weekday,Day
20203091,Qld,9,2020,Tuesday,7.00,Multiple,1,No,No,Yes,80,Outer Regional Australia,Cairns,Cairns (R),National or State Highway,No,No,Weekday,Day
20201136,NSW,9,2020,Monday,9.30,Multiple,1,No,No,No,70,Major Cities of Australia,Central Coast,Central Coast,National or State Highway,No,No,Weekday,Day
20202083,Vic,9,2020,Tuesday,10.09,Multiple,1,No,No,No,-9,Inner Regional Australia,Ballarat,Ballarat (C),Sub-arterial Road,No,No,Weekday,Day
20201003,NSW,9,2020,Friday,14.50,Single,1,No,Yes,No,100,Inner Regional Australia,Capital Region,Yass Valley,Arterial Road,No,No,Weekday,Day
20201102,NSW,9,2020,Tuesday,6.25,Single,1,No,No,No,60,Major Cities of Australia,Central Coast,Central Coast,National or State Highway,No,No,Weekday,Day
20201143,NSW,9,2020,Wednesday,12.30,Multiple,1,No,No,Yes,50,Major Cities of Australia,Sydney - City and Inner South,Bayside,Collector Road,No,No,Weekday,Day
20208002,ACT,9,2020,Tuesday,7.35,Single,1,No,No,No,100,Inner Regional Australia,Australian Capital Territory,Unincorporated ACT,Collector Road,No,No,Weekday,Day
20202034,Vic,9,2020,Tuesday,17.00,Single,1,No,No,No,-9,Major Cities of Australia,Melbourne - Inner East,Boroondara (C),Sub-arterial Road,No,No,Weekday,Day
20201149,NSW,9,2020,Monday,12.00,Multiple,1,No,No,No,50,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Local Road,No,No,Weekday,Day
20201120,NSW,9,2020,Monday,17.50,Single,1,No,No,No,100,Outer Regional Australia,Central West,Mid-Western Regional,Arterial Road,No,No,Weekday,Day
20201041,NSW,9,2020,Tuesday,10.30,Single,1,No,No,No,100,Remote Australia,New England and North West,Narrabri,Arterial Road,No,No,Weekday,Day
20201142,NSW,9,2020,Monday,15.36,Single,1,No,No,No,40,Major Cities of Australia,Sydney - Parramatta,Parramatta,Collector Road,No,No,Weekday,Day
20203051,Qld,9,2020,Friday,21.00,Single,1,No,No,No,-9,Outer Regional Australia,Wide Bay,North Burnett (R),Sub-arterial Road,No,No,Weekend,Night
20202058,Vic,9,2020,Friday,22.00,Single,1,No,No,No,100,Inner Regional Australia,Latrobe - Gippsland,South Gippsland (S),National or State Highway,No,No,Weekend,Night
20202154,Vic,9,2020,Saturday,9.30,Single,1,No,No,No,100,Inner Regional Australia,Shepparton,Campaspe (S),Sub-arterial Road,No,No,Weekend,Day
20208003,ACT,9,2020,Sunday,11.40,Multiple,1,No,No,No,80,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Local Road,No,No,Weekend,Day
20201239,NSW,9,2020,Sunday,23.00,Single,2,No,No,No,70,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Arterial Road,No,No,Weekend,Night
20201093,NSW,9,2020,Saturday,12.30,Multiple,2,No,No,No,100,Outer Regional Australia,New England and North West,Walcha,Sub-arterial Road,No,No,Weekend,Day
20201068,NSW,9,2020,Saturday,10.50,Multiple,1,No,No,No,80,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Arterial Road,No,No,Weekend,Day
20203155,Qld,9,2020,Sunday,19.00,Single,1,No,No,No,100,Inner Regional Australia,Wide Bay,Fraser Coast (R),Sub-arterial Road,No,No,Weekend,Night
20204020,SA,9,2020,Sunday,20.10,Multiple,1,No,No,Yes,100,Outer Regional Australia,Barossa - Yorke - Mid North,Port Pirie City and Dists (M),Arterial Road,No,No,Weekend,Night
20201077,NSW,9,2020,Friday,18.00,Multiple,1,No,No,No,100,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,National or State Highway,No,No,Weekend,Night
20202139,Vic,9,2020,Monday,3.11,Multiple,1,No,No,No,60,Inner Regional Australia,Bendigo,Greater Bendigo (C),National or State Highway,No,No,Weekend,Night
20201023,NSW,9,2020,Friday,23.00,Single,1,No,No,No,100,Outer Regional Australia,Central West,Weddin,Sub-arterial Road,No,No,Weekend,Night
20201233,NSW,9,2020,Saturday,3.43,Single,1,No,No,Yes,100,Inner Regional Australia,Mid North Coast,Mid-Coast,National or State Highway,No,No,Weekend,Night
20202082,Vic,9,2020,Saturday,17.30,Single,1,No,No,No,100,Inner Regional Australia,Shepparton,Greater Shepparton (C),Sub-arterial Road,No,No,Weekend,Day
20203054,Qld,9,2020,Saturday,22.00,Single,1,No,No,No,100,Outer Regional Australia,Central Queensland,Livingstone (S),National or State Highway,No,No,Weekend,Night
20205015,WA,9,2020,Saturday,16.03,Single,1,No,No,Yes,-9,,,,,No,No,Weekend,Day
20205087,WA,9,2020,Friday,18.39,Single,1,No,No,No,110,,,,,No,No,Weekend,Night
20202148,Vic,9,2020,Saturday,22.55,Multiple,2,No,No,No,-9,Major Cities of Australia,Melbourne - West,Wyndham (C),Local Road,No,No,Weekend,Night
20202136,Vic,9,2020,Saturday,14.35,Multiple,1,No,No,No,70,Inner Regional Australia,Bendigo,Macedon Ranges (S),National or State Highway,No,No,Weekend,Day
20203175,Qld,9,2020,Friday,18.00,Single,1,No,No,No,80,Major Cities of Australia,Moreton Bay - North,Moreton Bay (R),Sub-arterial Road,No,No,Weekend,Night
20203068,Qld,9,2020,Sunday,18.00,Single,1,No,No,No,100,Very Remote Australia,Central Queensland,Central Highlands (R) (Qld),Sub-arterial Road,No,No,Weekend,Night
20203047,Qld,9,2020,Friday,21.00,Single,1,No,No,No,60,Major Cities of Australia,Ipswich,Ipswich (C),Local Road,No,No,Weekend,Night
20205039,WA,9,2020,Saturday,13.25,Single,1,No,No,No,80,,,,,No,No,Weekend,Day
20201230,NSW,9,2020,Saturday,12.30,Single,1,No,No,No,110,Remote Australia,Murray,Hay,National or State Highway,No,No,Weekend,Day
20203170,Qld,9,2020,Saturday,20.00,Multiple,2,No,No,No,60,Outer Regional Australia,Cairns,Yarrabah (S),Local Road,No,No,Weekend,Night
20203063,Qld,9,2020,Sunday,0.00,Single,1,No,No,No,60,Inner Regional Australia,Wide Bay,Bundaberg (R),Local Road,No,No,Weekend,Night
20203188,Qld,9,2020,Saturday,13.00,Single,1,No,No,No,100,Outer Regional Australia,Wide Bay,Gympie (R),National or State Highway,No,No,Weekend,Day
20201026,NSW,9,2020,Saturday,23.35,Multiple,1,No,No,No,60,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,No,No,Weekend,Night
20203080,Qld,9,2020,Thursday,23.00,Single,1,No,No,No,100,Outer Regional Australia,Darling Downs - Maranoa,Toowoomba (R),Local Road,No,No,Weekday,Night
20203087,Qld,9,2020,Wednesday,19.00,Single,1,No,No,No,100,Remote Australia,Queensland - Outback,Cook (S),Collector Road,No,No,Weekday,Night
20203090,Qld,9,2020,Thursday,22.00,Single,1,No,No,No,100,Very Remote Australia,Queensland - Outback,Cloncurry (S),National or State Highway,No,No,Weekday,Night
20203185,Qld,9,2020,Monday,18.00,Multiple,1,No,No,No,60,Major Cities of Australia,Brisbane - South,Brisbane (C),Sub-arterial Road,No,No,Weekday,Night
20205022,WA,9,2020,Tuesday,23.16,Multiple,1,No,No,No,50,,,,,No,No,Weekday,Night
20201151,NSW,9,2020,Wednesday,23.00,Single,1,No,No,No,100,Outer Regional Australia,Riverina,Wagga Wagga,Sub-arterial Road,No,No,Weekday,Night
20202104,Vic,9,2020,Wednesday,19.34,Single,1,No,No,No,50,Inner Regional Australia,Bendigo,Greater Bendigo (C),Local Road,No,No,Weekday,Night
20202007,Vic,9,2020,Wednesday,23.20,Single,1,No,No,No,100,Inner Regional Australia,Warrnambool and South West,Corangamite (S),Sub-arterial Road,No,No,Weekday,Night
20201212,NSW,9,2020,Wednesday,19.50,Single,1,No,No,No,50,Inner Regional Australia,Richmond - Tweed,Ballina,Local Road,No,No,Weekday,Night
20201031,NSW,9,2020,Monday,22.30,Multiple,1,No,No,No,70,Major Cities of Australia,Sydney - Parramatta,Cumberland,National or State Highway,No,No,Weekday,Night
20201202,NSW,9,2020,Monday,18.35,Single,1,No,No,No,50,Very Remote Australia,Far West and Orana,Walgett,Access road,No,No,Weekday,Night
20201121,NSW,9,2020,Monday,19.05,Single,1,No,No,No,50,Inner Regional Australia,Richmond - Tweed,Lismore,Local Road,No,No,Weekday,Night
20201086,NSW,9,2020,Wednesday,5.45,Multiple,1,No,No,No,70,Major Cities of Australia,Sydney - Parramatta,Cumberland,National or State Highway,No,No,Weekday,Night
20201059,NSW,9,2020,Thursday,19.10,Multiple,1,No,No,No,60,Major Cities of Australia,Sydney - City and Inner South,Inner West,Arterial Road,No,No,Weekday,Night
20201236,NSW,9,2020,Thursday,22.15,Multiple,1,No,No,Yes,110,Inner Regional Australia,Capital Region,Yass Valley,National or State Highway,No,No,Weekday,Night
20201098,NSW,9,2020,Wednesday,18.30,Single,1,No,No,No,100,Remote Australia,Far West and Orana,Walgett,Arterial Road,No,No,Weekday,Night
20205029,WA,9,2020,Sunday,13.59,Multiple,2,No,No,No,90,,,,,No,No,Weekend,Day
20205109,WA,9,2020,Sunday,19.35,Multiple,1,No,No,No,60,,,,,No,No,Weekend,Night
20201082,NSW,9,2020,Saturday,7.10,Multiple,1,No,Yes,No,80,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Collector Road,No,No,Weekend,Day
20205012,WA,9,2020,Sunday,15.32,Single,1,No,No,No,80,,,,,No,No,Weekend,Day
20202056,Vic,9,2020,Sunday,8.00,Single,1,No,No,No,-9,Outer Regional Australia,North West,Buloke (S),National or State Highway,No,No,Weekend,Day
20201095,NSW,9,2020,Tuesday,10.05,Multiple,1,No,No,No,100,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Sub-arterial Road,No,No,Weekday,Day
