Crash ID,Road User,Gender,Age,Age Group
20202034,Passenger,Female,20,17_to_25
20201129,Driver,Male,38,26_to_39
20204066,Motorcycle rider,Male,31,26_to_39
20201143,Driver,Female,39,26_to_39
20202058,Driver,Female,60,40_to_64
20203020,Motorcycle rider,Male,45,40_to_64
20203091,Driver,Female,45,40_to_64
20203146,Driver,Male,43,40_to_64
20201023,Driver,Male,58,40_to_64
20201145,Motorcycle rider,Male,43,40_to_64
20201102,Driver,Male,65,65_to_74
20201003,Driver,Male,68,65_to_74
20202104,Pedestrian,Male,1,0_to_16
20201077,Driver,Female,69,65_to_74
20205087,Driver,Male,66,65_to_74
20201142,Pedestrian,Male,55,40_to_64
20205022,Pedestrian,Female,37,26_to_39
20201031,Driver,Female,22,17_to_25
20201121,Driver,Male,17,17_to_25
20201098,Motorcycle rider,Male,20,17_to_25
20203080,Driver,Male,31,26_to_39
20203087,Driver,Male,38,26_to_39
20201059,Motorcycle rider,Male,36,26_to_39
20201212,Driver,Female,42,40_to_64
20202007,Driver,Male,61,40_to_64
20201086,Motorcycle rider,Male,45,40_to_64
20203090,Driver,Male,45,40_to_64
20203185,Driver,Male,50,40_to_64
20201236,Driver,Male,57,40_to_64
20203051,Driver,Male,25,17_to_25
20203063,Driver,Male,25,17_to_25
20201151,Driver,Male,31,26_to_39
20203160,Driver,Male,52,40_to_64
20202125,Driver,Male,46,40_to_64
20201095,Passenger,Female,97,75_or_older
20204036,Driver,Male,75,75_or_older
20201149,Driver,Female,83,75_or_older
20201051,Driver,Male,84,75_or_older
20201041,Driver,Male,84,75_or_older
20201120,Driver,Female,31,26_to_39
20201136,Motorcycle rider,Female,52,40_to_64
20202083,Driver,Male,71,65_to_74
20203135,Motorcycle rider,Male,49,40_to_64
20201223,Passenger,Male,19,17_to_25
20201138,Driver,Male,20,17_to_25
20201192,Pedestrian,Male,70,65_to_74
20206006,Motorcycle rider,Male,28,26_to_39
20203130,Pedestrian,Male,39,26_to_39
20207011,Passenger,Female,39,26_to_39
20203138,Passenger,Male,18,17_to_25
20207007,Driver,Male,34,26_to_39
20202059,Driver,Male,27,26_to_39
20201081,Driver,Male,84,75_or_older
20201126,Driver,Male,65,65_to_74
20201179,Driver,Male,52,40_to_64
20201179,Passenger,Male,51,40_to_64
20201027,Driver,Male,57,40_to_64
20206016,Driver,Male,82,75_or_older
20206016,Passenger,Female,81,75_or_older
20206026,Driver,Female,50,40_to_64
20202123,Pedal cyclist,Male,54,40_to_64
20202036,Motorcycle rider,Male,48,40_to_64
20202005,Motorcycle rider,Male,50,40_to_64
20203154,Motorcycle rider,Male,49,40_to_64
20203141,Driver,Female,51,40_to_64
20205052,Motorcycle rider,Male,51,40_to_64
20203114,Passenger,Female,17,17_to_25
20205059,Driver,Female,81,75_or_older
20207005,Passenger,Female,7,0_to_16
20201053,Driver,Female,75,75_or_older
20203114,Passenger,Male,21,17_to_25
20203114,Driver,Male,21,17_to_25
20207006,Driver,Male,18,17_to_25
20203043,Motorcycle rider,Male,32,26_to_39
20202168,Driver,Male,28,26_to_39
20207006,Passenger,Male,52,40_to_64
20203183,Pedal cyclist,Female,55,40_to_64
20203013,Motorcycle rider,Male,71,65_to_74
20203049,Passenger,Male,52,40_to_64
20203055,Passenger,Female,87,75_or_older
20201201,Passenger,Male,80,75_or_older
20201201,Driver,Female,77,75_or_older
20204031,Passenger,Female,84,75_or_older
20203095,Pedal cyclist,Male,14,0_to_16
20205081,Passenger,Female,58,40_to_64
20202143,Passenger,Female,85,75_or_older
20201116,Motorcycle rider,Male,78,75_or_older
20205057,Driver,Male,75,75_or_older
20202167,Driver,Male,81,75_or_older
20201123,Motorcycle rider,Male,24,17_to_25
20204014,Motorcycle rider,Male,24,17_to_25
20201062,Driver,Male,27,26_to_39
20202145,Passenger,Female,23,17_to_25
20201002,Driver,Female,35,26_to_39
20203142,Driver,Male,29,26_to_39
20202099,Pedestrian,Male,61,40_to_64
20202010,Driver,Male,31,26_to_39
20203049,Driver,Male,41,40_to_64
20202049,Motorcycle rider,Male,49,40_to_64
20205002,Driver,Male,51,40_to_64
20206019,Driver,Male,42,40_to_64
20201190,Driver,Male,51,40_to_64
20203031,Pedestrian,Male,35,26_to_39
20201146,Pedestrian,Female,77,75_or_older
20203044,Pedestrian,Male,48,40_to_64
20202110,Pedestrian,Female,83,75_or_older
20202071,Pedestrian,Female,1,0_to_16
20203180,Pedestrian,Female,1,0_to_16
